id,title,description,link,image_link,availability,price,brand,mpn,identifier_exists,condition,google_product_category,product_type
THK-MDV-001,Кондиционер MDV AURORA MDSA-30HRN1 (RG10) / MDOA-30HN1,"Бытовая сплит-система MDV AURORA (ON/OFF BIG, хладагент R410A) для помещений большой площади. Надёжный компрессор GMCC, самодиагностика, обнаружение утечки хладагента, самоочистка внутреннего блока. Фотокаталитический и противопылевый фильтры, режимы TURBO и Follow me, 3D Airflow, автоматический перезапуск, обогрев при низких температурах.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/cd3/f0mxfq2ecmgi3rtkmaxuevxi5ef1062v.png,in_stock,465000.00 KZT,MDV,MDSA-30HRN1,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-002,Кондиционер MDV AURORA MDSA-36HRN1 (RG10) / MDOA-36HN1,"Бытовая сплит-система MDV AURORA (ON/OFF BIG, хладагент R410A) для помещений большой площади. Надёжный компрессор GMCC, самодиагностика, обнаружение утечки хладагента, самоочистка внутреннего блока. Фотокаталитический и противопылевый фильтры, режимы TURBO и Follow me, 3D Airflow, автоматический перезапуск, обогрев при низких температурах.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/cd3/f0mxfq2ecmgi3rtkmaxuevxi5ef1062v.png,in_stock,575000.00 KZT,MDV,MDSA-36HRN1,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-003,Кондиционер MDV INFINI LOFT MDSALF-09HRFN8 /  MDOALF-09HFN8,"Бытовая инверторная сплит-система MDV INFINI LOFT (ERP Full DC Inverter, R32) с дизайнерским корпусом под карбон. 3D DC-Inverter ERP, мягкое охлаждение Breeze Away, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/c84/vi7oedhkr97zbj327j94yk2ocer111zz.png,in_stock,218750.00 KZT,MDV,MDSALF-09HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-004,Кондиционер MDV INFINI LOFT MDSALF-12HRFN8 /  MDOALF-12HFN8,"Бытовая инверторная сплит-система MDV INFINI LOFT (ERP Full DC Inverter, R32) с дизайнерским корпусом под карбон. 3D DC-Inverter ERP, мягкое охлаждение Breeze Away, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/c84/vi7oedhkr97zbj327j94yk2ocer111zz.png,in_stock,253750.00 KZT,MDV,MDSALF-12HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-005,Кондиционер MDV INFINI LOFT MDSALF-18HRFN8 /  MDOALF-18HFN8,"Бытовая инверторная сплит-система MDV INFINI LOFT (ERP Full DC Inverter, R32) с дизайнерским корпусом под карбон. 3D DC-Inverter ERP, мягкое охлаждение Breeze Away, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/c84/vi7oedhkr97zbj327j94yk2ocer111zz.png,in_stock,367500.00 KZT,MDV,MDSALF-18HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-006,Кондиционер MDV INFINI LOFT MDSALF-24HRFN8 /  MDOALF-24HFN8,"Бытовая инверторная сплит-система MDV INFINI LOFT (ERP Full DC Inverter, R32) с дизайнерским корпусом под карбон. 3D DC-Inverter ERP, мягкое охлаждение Breeze Away, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/c84/vi7oedhkr97zbj327j94yk2ocer111zz.png,in_stock,463750.00 KZT,MDV,MDSALF-24HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-007,Кондиционер MDV INFINI Nordic MDSAN-09HRFN8 / MDOAN-09HFN8,"Инверторный тепловой насос MDV INFINI Nordic Heat Pump (ERP Full DC Inverter, R32): обогрев и охлаждение при −30 °C. 3D DC-Inverter ERP, компрессор GMCC, самоочистка внутреннего и наружного блоков, мягкое охлаждение Breeze Away, ионизатор Air Magic, фильтры, режимы TURBO+ и Follow me, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/836/yewymockf52gpxmignrcpa47s4s4ur5p.png,in_stock,261250.00 KZT,MDV,MDSAN-09HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-008,Кондиционер MDV INFINI Nordic MDSAN-12HRFN8 / MDOAN-12HFN8,"Инверторный тепловой насос MDV INFINI Nordic Heat Pump (ERP Full DC Inverter, R32): обогрев и охлаждение при −30 °C. 3D DC-Inverter ERP, компрессор GMCC, самоочистка внутреннего и наружного блоков, мягкое охлаждение Breeze Away, ионизатор Air Magic, фильтры, режимы TURBO+ и Follow me, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/836/yewymockf52gpxmignrcpa47s4s4ur5p.png,in_stock,291250.00 KZT,MDV,MDSAN-12HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-009,Кондиционер MDV INFINI Nordic MDSAN-18HRFN8 / MDOAN-18HFN8,"Инверторный тепловой насос MDV INFINI Nordic Heat Pump (ERP Full DC Inverter, R32): обогрев и охлаждение при −30 °C. 3D DC-Inverter ERP, компрессор GMCC, самоочистка внутреннего и наружного блоков, мягкое охлаждение Breeze Away, ионизатор Air Magic, фильтры, режимы TURBO+ и Follow me, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/836/yewymockf52gpxmignrcpa47s4s4ur5p.png,in_stock,396250.00 KZT,MDV,MDSAN-18HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-010,Кондиционер MDV INFINI Nordic MDSAN-24HRFN8 / MDOAN-24HFN8,"Инверторный тепловой насос MDV INFINI Nordic Heat Pump (ERP Full DC Inverter, R32): обогрев и охлаждение при −30 °C. 3D DC-Inverter ERP, компрессор GMCC, самоочистка внутреннего и наружного блоков, мягкое охлаждение Breeze Away, ионизатор Air Magic, фильтры, режимы TURBO+ и Follow me, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/836/yewymockf52gpxmignrcpa47s4s4ur5p.png,in_stock,507500.00 KZT,MDV,MDSAN-24HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-011,Кондиционер MDV INFINI Uvpro MDSAL-09HRFN8 / MDOAG-09HFN8,"Бытовая инверторная сплит-система MDV INFINI Uvpro (ERP Full DC Inverter, R32) с ультрафиолетовой лампой обеззараживания. 3D DC-Inverter ERP, мягкое охлаждение Breeze Away, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/91f/3udvueqhn2y45j3ikpb1qfegdhw8enmw.png,in_stock,197500.00 KZT,MDV,MDSAL-09HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-012,Кондиционер MDV INFINI Uvpro MDSAL-12HRFN8 / MDOAG-12HFN8,"Бытовая инверторная сплит-система MDV INFINI Uvpro (ERP Full DC Inverter, R32) с ультрафиолетовой лампой обеззараживания. 3D DC-Inverter ERP, мягкое охлаждение Breeze Away, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/91f/3udvueqhn2y45j3ikpb1qfegdhw8enmw.png,in_stock,225000.00 KZT,MDV,MDSAL-12HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-013,Кондиционер MDV INFINI Uvpro MDSAL-18HRFN8 / MDOAG-18HFN8,"Бытовая инверторная сплит-система MDV INFINI Uvpro (ERP Full DC Inverter, R32) с ультрафиолетовой лампой обеззараживания. 3D DC-Inverter ERP, мягкое охлаждение Breeze Away, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/91f/3udvueqhn2y45j3ikpb1qfegdhw8enmw.png,in_stock,341250.00 KZT,MDV,MDSAL-18HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-014,Кондиционер MDV INFINI Uvpro MDSAL-24HRFN8 / MDOAG-24HFN8,"Бытовая инверторная сплит-система MDV INFINI Uvpro (ERP Full DC Inverter, R32) с ультрафиолетовой лампой обеззараживания. 3D DC-Inverter ERP, мягкое охлаждение Breeze Away, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/91f/3udvueqhn2y45j3ikpb1qfegdhw8enmw.png,in_stock,436250.00 KZT,MDV,MDSAL-24HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-015,Кондиционер MDV INTEGRA MDSI-07HRDN8 /   MDOI-07HDN8,"Бытовая инверторная сплит-система MDV INTEGRA (DC Inverter, R32) со встроенным ИИ AI Ecomaster. Мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me. Функция GEAR, 3D Airflow, Wi-Fi-управление, автоматическая оттайка и перезапуск.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/a47/tf7xj92570e2g6c7g6nwhrm3w8in5bob.png,in_stock,166250.00 KZT,MDV,MDSI-07HRDN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-016,Кондиционер MDV INTEGRA MDSI-09HRDN8 /   MDOI-09HDN8,"Бытовая инверторная сплит-система MDV INTEGRA (DC Inverter, R32) со встроенным ИИ AI Ecomaster. Мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me. Функция GEAR, 3D Airflow, Wi-Fi-управление, автоматическая оттайка и перезапуск.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/a47/tf7xj92570e2g6c7g6nwhrm3w8in5bob.png,in_stock,176250.00 KZT,MDV,MDSI-09HRDN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-017,Кондиционер MDV INTEGRA MDSI-12HRDN8 /   MDOI-12HDN8,"Бытовая инверторная сплит-система MDV INTEGRA (DC Inverter, R32) со встроенным ИИ AI Ecomaster. Мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me. Функция GEAR, 3D Airflow, Wi-Fi-управление, автоматическая оттайка и перезапуск.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/a47/tf7xj92570e2g6c7g6nwhrm3w8in5bob.png,in_stock,212500.00 KZT,MDV,MDSI-12HRDN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-018,Кондиционер MDV INTEGRA MDSI-18HRFN8 /    MDOI-18HFN8,"Бытовая инверторная сплит-система MDV INTEGRA (DC Inverter, R32) со встроенным ИИ AI Ecomaster. Мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me. Функция GEAR, 3D Airflow, Wi-Fi-управление, автоматическая оттайка и перезапуск.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/a47/tf7xj92570e2g6c7g6nwhrm3w8in5bob.png,in_stock,352500.00 KZT,MDV,MDSI-18HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-019,Кондиционер MDV INTEGRA MDSI-24HRFN8 /    MDOI-24HFN8,"Бытовая инверторная сплит-система MDV INTEGRA (DC Inverter, R32) со встроенным ИИ AI Ecomaster. Мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me. Функция GEAR, 3D Airflow, Wi-Fi-управление, автоматическая оттайка и перезапуск.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/a47/tf7xj92570e2g6c7g6nwhrm3w8in5bob.png,in_stock,453750.00 KZT,MDV,MDSI-24HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-020,Кондиционер MDV INTEGRA PRO MDSAI2-07HRFN8 /  MDOAI2-07HFN8,"Бытовая инверторная сплит-система MDV INTEGRA PRO (ERP Full DC Inverter, R32) с ИИ AI Ecomaster и 3D DC-Inverter ERP. Мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/fb9/o5yfd00vo5dzptiayjlsaieqj4ffxkf0.png,in_stock,170000.00 KZT,MDV,MDSAI2-07HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-021,Кондиционер MDV INTEGRA PRO MDSAI2-09HRFN8 /  MDOAI2-09HFN8,"Бытовая инверторная сплит-система MDV INTEGRA PRO (ERP Full DC Inverter, R32) с ИИ AI Ecomaster и 3D DC-Inverter ERP. Мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/fb9/o5yfd00vo5dzptiayjlsaieqj4ffxkf0.png,in_stock,181250.00 KZT,MDV,MDSAI2-09HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-022,Кондиционер MDV INTEGRA PRO MDSAI2-12HRFN8 /  MDOAI2-12HFN8,"Бытовая инверторная сплит-система MDV INTEGRA PRO (ERP Full DC Inverter, R32) с ИИ AI Ecomaster и 3D DC-Inverter ERP. Мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/fb9/o5yfd00vo5dzptiayjlsaieqj4ffxkf0.png,in_stock,221250.00 KZT,MDV,MDSAI2-12HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-023,Кондиционер MDV INTEGRA PRO MDSAI2-18HRFN8 /  MDOAI2-18HFN8,"Бытовая инверторная сплит-система MDV INTEGRA PRO (ERP Full DC Inverter, R32) с ИИ AI Ecomaster и 3D DC-Inverter ERP. Мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/fb9/o5yfd00vo5dzptiayjlsaieqj4ffxkf0.png,in_stock,357500.00 KZT,MDV,MDSAI2-18HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-024,Кондиционер MDV INTEGRA PRO MDSAI2-24HRFN8 /  MDOAI2-24HFN8,"Бытовая инверторная сплит-система MDV INTEGRA PRO (ERP Full DC Inverter, R32) с ИИ AI Ecomaster и 3D DC-Inverter ERP. Мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, 3D Airflow, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/fb9/o5yfd00vo5dzptiayjlsaieqj4ffxkf0.png,in_stock,458750.00 KZT,MDV,MDSAI2-24HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-025,Кондиционер MDV INTEGRA PRO BLACK MDSBI2-07HRFN8 / MDOBI2-07HFN8,"Бытовая инверторная сплит-система MDV INTEGRA PRO BLACK (ERP Full DC Inverter, R32) в матовом чёрном корпусе. ИИ AI Ecomaster, 3D DC-Inverter ERP, мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/57f/4ivi79dnbxw1jut1mtktfv11sve78b9e.png,in_stock,187500.00 KZT,MDV,MDSBI2-07HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-026,Кондиционер MDV INTEGRA PRO BLACK MDSBI2-09HRFN8 / MDOBI2-09HFN8,"Бытовая инверторная сплит-система MDV INTEGRA PRO BLACK (ERP Full DC Inverter, R32) в матовом чёрном корпусе. ИИ AI Ecomaster, 3D DC-Inverter ERP, мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/57f/4ivi79dnbxw1jut1mtktfv11sve78b9e.png,in_stock,203750.00 KZT,MDV,MDSBI2-09HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
THK-MDV-027,Кондиционер MDV INTEGRA PRO BLACK MDSBI2-12HRFN8 / MDOBI2-12HFN8,"Бытовая инверторная сплит-система MDV INTEGRA PRO BLACK (ERP Full DC Inverter, R32) в матовом чёрном корпусе. ИИ AI Ecomaster, 3D DC-Inverter ERP, мягкое охлаждение Cascade wind, ионизатор Air Magic, фото- и противопылевый фильтры, режимы TURBO+ и Follow me, функция GEAR, Wi-Fi-управление.",https://tehnoholod369.kz/katalog,https://mdv-aircond.ru/upload/iblock/57f/4ivi79dnbxw1jut1mtktfv11sve78b9e.png,in_stock,237500.00 KZT,MDV,MDSBI2-12HRFN8,no,new,Дом и сад > Бытовая техника > Климатическое оборудование > Кондиционеры,Кондиционеры > Настенные
